title,authors,year,venue,doi,discovery_source,metadata_sources,open_access_status,fulltext_status,zotero_item_key,relevance_topic,screening_status,verified_at,notes
Cement Bond Log-A Study of Cement and Casing Variables,G.H. Pardue; R.L. Morris,1963,Journal of Petroleum Technology,10.2118/453-pa,paperSearch,Crossref; OpenAlex,open_fulltext_url_reported,abstract_only,,T1/T2 cement integrity and sonic evaluation,admitted,2026-07-14,No claim beyond the recorded verification level.
Cement Evaluation Tool: A New Approach to Cement Evaluation,Benoit Froelich; A. Dumont; Dennis Pittman; Bruno Seeman,1982,Journal of Petroleum Technology,10.2118/10207-pa,paperSearch,Crossref; OpenAlex,not_verified,abstract_only,,T1/T2 cement integrity and sonic evaluation,admitted,2026-07-14,No claim beyond the recorded verification level.
A New and Innovative Technology for Cement Evaluation,E. L. Bigelow; E. J. Domangue; R. A. Lester,1990,SPE Annual Technical Conference and Exhibition,10.2118/20585-ms,paperSearch,Crossref; OpenAlex,not_verified,abstract_only,,T1/T2 cement integrity and sonic evaluation,admitted,2026-07-14,No claim beyond the recorded verification level.
A Novel Ultrasonic Cased-Hole Imager for Enhanced Cement Evaluation,Robert van Kuijk; Smaine Zeroug; Benoit Froelich; Michael Allouche; Sandip Bose; Douglas Miller; Jean-Luc Le Calvez; Virginie Schoepf; Andrea Pagnin,2005,International Petroleum Technology Conference,10.2523/iptc-10546-ms,paperSearch,Crossref; OpenAlex,not_verified,abstract_only,,T1/T2 cement integrity and sonic evaluation,admitted,2026-07-14,No claim beyond the recorded verification level.
Cement Imaging Through Ultrasonics,G. Uswak; N. McLafferty,1995,Journal of Canadian Petroleum Technology,10.2118/95-01-03,paperSearch,Crossref; OpenAlex,not_verified,abstract_only,,T1/T2 cement integrity and sonic evaluation,admitted,2026-07-14,No claim beyond the recorded verification level.
Understanding acoustic methods for cement bond logging,Hua Wang; Guo Tao; Xuefeng Shang,2016,The Journal of the Acoustical Society of America,10.1121/1.4947511,paperSearch,Crossref; OpenAlex,not_verified,abstract_only,,T1/T2 cement integrity and sonic evaluation,admitted,2026-07-14,No claim beyond the recorded verification level.
Feasibility and Challenge of Quantitative Cement Evaluation with LWD Sonic,Toshihiro Kinoshita; Wataru Izuhara; Henri-Pierre Valero; Matthew Blyth,2013,SPE Annual Technical Conference and Exhibition,10.2118/166327-ms,paperSearch,Crossref; OpenAlex; Zotero,not_verified,fulltext_verified,WSVD46HN,T1/T2 cement integrity and sonic evaluation,admitted,2026-07-14,Zotero attachment identity checked; relevant full text read from the local attachment text cache.
Ultrabroadband Acoustic Logging Tool for Deep Reading Formation Evaluation,Baichun Sun; Ruijia Wang; Wei Li; Brenda Sue Jonathan; Bill Langley; Glenn Wilson; Arthur Cheng,2016,Offshore Technology Conference Asia,10.4043/26688-ms,paperSearch,Crossref; OpenAlex; Zotero,not_verified,fulltext_verified,G573UPWJ,T2 XSI tool,admitted,2026-07-14,Zotero attachment identity checked; relevant full text read from the local attachment text cache.
Azimuthally acoustic logging tool to evaluate cementing quality,Junqiang Lu; Xiaodong Ju; Wenxiao Qiao; Baiyong Men; Ruijia Wang; Jinping Wu,2014,Journal of Geophysics and Engineering,10.1088/1742-2132/11/4/045006,paperSearch,Crossref; OpenAlex,open_fulltext_url_reported,abstract_only,,T2/T3/T4 acoustic-ultrasonic and azimuthal evaluation,admitted,2026-07-14,No claim beyond the recorded verification level.
An experimental study on azimuthal reception characteristics of acoustic well-logging transducers based on phased-arc arrays,Xiaohua Che; Wenxiao Qiao; Xiaodong Ju; Junqiang Lu; Jinping Wu,2014,Geophysics,10.1190/geo2013-0334.1,paperSearch,Crossref; OpenAlex; Zotero,not_verified,fulltext_verified,EALA46HM,T2/T3/T4 acoustic-ultrasonic and azimuthal evaluation,admitted,2026-07-14,Zotero attachment identity checked; relevant full text read from the local attachment text cache.
Azimuthal cement evaluation with an acoustic phased-arc array transmitter: numerical simulations and field tests,Xiao-Hua Che; Wen-Xiao Qiao; Xiao-Dong Ju; Rui-Jia Wang,2016,Applied Geophysics,10.1007/s11770-016-0537-1,paperSearch,Crossref; OpenAlex,not_verified,metadata_only,,T2/T3/T4 acoustic-ultrasonic and azimuthal evaluation,admitted,2026-07-14,No claim beyond the recorded verification level.
Experimental study on the performance of an azimuthal acoustic receiver sonde for a downhole tool,Xiaohua Che; Wenxiao Qiao; Xiaodong Ju; Jinping Wu; Baiyong Men,2016,Geophysical Prospecting,10.1111/1365-2478.12401,paperSearch,Crossref; OpenAlex; Zotero,not_verified,fulltext_verified,PCURT8PD,T2/T3/T4 acoustic-ultrasonic and azimuthal evaluation,admitted,2026-07-14,Zotero attachment identity checked; relevant full text read from the local attachment text cache.
Evaluation of azimuth cement bond quality based on the arcuate phased array acoustic receiver station,Chengji Zuo; Wenxiao Qiao; Xiaohua Che; Shubo Yang,2020,Journal of Petroleum Science and Engineering,10.1016/j.petrol.2020.107902,paperSearch,Crossref; OpenAlex; Zotero,not_verified,fulltext_verified,TLM634JP,T2/T3/T4 acoustic-ultrasonic and azimuthal evaluation,admitted,2026-07-14,Zotero attachment identity checked; relevant full text read from the local attachment text cache.
Automatic interpretation of cement evaluation logs from cased boreholes using supervised deep neural networks,Erlend Magnus Viggen; Ioan Alexandru Merciu; Lasse Løvstakken; Svein-Erik Måsøy,2020,Journal of Petroleum Science and Engineering,10.1016/j.petrol.2020.107539,paperSearch,Crossref; OpenAlex,open_fulltext_url_reported,abstract_only,,T2/T3/T4 acoustic-ultrasonic and azimuthal evaluation,admitted,2026-07-14,No claim beyond the recorded verification level.
The wavefield of acoustic logging in a cased-hole with a single casing – Part I: a monopole tool,Hua Wang; Michael Fehler,2017,Geophysical Journal International,10.1093/gji/ggx437,paperSearch,Crossref; OpenAlex,open_fulltext_url_reported,abstract_only,,T2/T3/T4 acoustic-ultrasonic and azimuthal evaluation,admitted,2026-07-14,No claim beyond the recorded verification level.
Multimode evaluation of cement behind steel pipe,Benoit Froelich,2008,The Journal of the Acoustical Society of America,10.1121/1.2934929,paperSearch,Crossref; OpenAlex,not_verified,abstract_only,,T2/T3/T4 acoustic-ultrasonic and azimuthal evaluation,admitted,2026-07-14,No claim beyond the recorded verification level.
Analysis of outer-casing echoes in simulations of ultrasonic pulse-echo through-tubing logging,Erlend Magnus Viggen; Tonni Franke Johansen; Ioan-Alexandru Merciu,2016,Geophysics,10.1190/geo2015-0376.1,paperSearch,Crossref; OpenAlex,open_fulltext_url_reported,abstract_only,,T2/T3/T4 acoustic-ultrasonic and azimuthal evaluation,admitted,2026-07-14,No claim beyond the recorded verification level.
"New-Generation, Circumferential Ultrasonic Cement-Evaluation Tool for Thick Casings: Case Study in Ultradeepwater Well",J. Acosta; M. Barroso; B. Mandal; D. Soares; A. Milankovic; L. Lima; T. Piedade,2017,OTC Brasil,10.4043/28062-ms,paperSearch,Crossref; OpenAlex,not_verified,abstract_only,,T2/T3/T4 acoustic-ultrasonic and azimuthal evaluation,admitted,2026-07-14,No claim beyond the recorded verification level.
A review of cement sheath integrity evaluation techniques for carbon dioxide storage,Okhiria D. Udebhulu; Yetunde Aladeitan; Ricardo C. Azevedo; Giorgio De Tomi,2023,Journal of Petroleum Exploration and Production Technology,10.1007/s13202-023-01697-0,paperSearch,Crossref; OpenAlex,open_fulltext_url_reported,abstract_only,,T1/T2 cement integrity and sonic evaluation,admitted,2026-07-14,No claim beyond the recorded verification level.
