fft_coefficient,label,model_mae,zero_mae,train_mean_mae,train_median_mae,val_mean_oracle_analysis_mae,target_mean_abs,source_path,notes
0,k=0,0.14272072911262512,0.12720884382724762,0.3014964461326599,0.2367991805076599,0.14893576502799988,0.12720884382724762,docs/thesis_evidence/exp008_depthheldout_error_structure.csv,per FFT coefficient MAE; single-well depth-heldout EXP-008
1,k=1,0.13385966420173645,0.11930951476097107,0.2784857153892517,0.2202506810426712,0.14039921760559082,0.11930951476097107,docs/thesis_evidence/exp008_depthheldout_error_structure.csv,per FFT coefficient MAE; single-well depth-heldout EXP-008
2,k=2,0.1290580928325653,0.11383569240570068,0.2576964497566223,0.20603470504283905,0.1342063844203949,0.11383569240570068,docs/thesis_evidence/exp008_depthheldout_error_structure.csv,per FFT coefficient MAE; single-well depth-heldout EXP-008
3,k=3,0.12782397866249084,0.11359625309705734,0.24249868094921112,0.20061057806015015,0.13319045305252075,0.11359625309705734,docs/thesis_evidence/exp008_depthheldout_error_structure.csv,per FFT coefficient MAE; single-well depth-heldout EXP-008
4,k=4,0.12359405308961868,0.10938513278961182,0.22815485298633575,0.19065740704536438,0.12832598388195038,0.10938513278961182,docs/thesis_evidence/exp008_depthheldout_error_structure.csv,per FFT coefficient MAE; single-well depth-heldout EXP-008
5,k=5,0.115653857588768,0.10243941098451614,0.2161271870136261,0.17965169250965118,0.12029290944337845,0.10243941098451614,docs/thesis_evidence/exp008_depthheldout_error_structure.csv,per FFT coefficient MAE; single-well depth-heldout EXP-008
6,k=6,0.11266693472862244,0.0990014374256134,0.20332755148410797,0.1718091368675232,0.11607538908720016,0.0990014374256134,docs/thesis_evidence/exp008_depthheldout_error_structure.csv,per FFT coefficient MAE; single-well depth-heldout EXP-008
7,k=7,0.11081799864768982,0.0984061136841774,0.19657671451568604,0.16837306320667267,0.11497773975133896,0.0984061136841774,docs/thesis_evidence/exp008_depthheldout_error_structure.csv,per FFT coefficient MAE; single-well depth-heldout EXP-008
8,k=8,0.10599706321954727,0.09381444752216339,0.18681855499744415,0.1625349372625351,0.10941243916749954,0.09381444752216339,docs/thesis_evidence/exp008_depthheldout_error_structure.csv,per FFT coefficient MAE; single-well depth-heldout EXP-008
9,k=9,0.09770666062831879,0.08726141601800919,0.17365078628063202,0.1501394659280777,0.10303066670894623,0.08726141601800919,docs/thesis_evidence/exp008_depthheldout_error_structure.csv,per FFT coefficient MAE; single-well depth-heldout EXP-008
10,k=10,0.09212622046470642,0.07954006642103195,0.16046151518821716,0.13718478381633759,0.09464054554700851,0.07954006642103195,docs/thesis_evidence/exp008_depthheldout_error_structure.csv,per FFT coefficient MAE; single-well depth-heldout EXP-008
