citation_key,title,doi,bibtex_type,metadata_sources,fulltext_status,zotero_item_key,cited_in_text,key_unique,admission_status,notes
Pardue1963CementBond,Cement Bond Log-A Study of Cement and Casing Variables,10.2118/453-pa,article,Crossref; OpenAlex,abstract_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Froelich1982CementEvaluation,Cement Evaluation Tool: A New Approach to Cement Evaluation,10.2118/10207-pa,article,Crossref; OpenAlex,abstract_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Bigelow1990SegmentedBond,A New and Innovative Technology for Cement Evaluation,10.2118/20585-ms,inproceedings,Crossref; OpenAlex,abstract_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
VanKuijk2005UltrasonicImager,A Novel Ultrasonic Cased-Hole Imager for Enhanced Cement Evaluation,10.2523/iptc-10546-ms,inproceedings,Crossref; OpenAlex,abstract_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Uswak1995CementImaging,Cement Imaging Through Ultrasonics,10.2118/95-01-03,article,Crossref; OpenAlex,abstract_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Wang2016AcousticCementMethods,Understanding acoustic methods for cement bond logging,10.1121/1.4947511,article,Crossref; OpenAlex,abstract_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Kinoshita2013LWDSonicCement,Feasibility and Challenge of Quantitative Cement Evaluation with LWD Sonic,10.2118/166327-ms,inproceedings,Crossref; OpenAlex; Zotero,fulltext_verified,WSVD46HN,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Sun2016UltrabroadbandAcoustic,Ultrabroadband Acoustic Logging Tool for Deep Reading Formation Evaluation,10.4043/26688-ms,inproceedings,Crossref; OpenAlex; Zotero,fulltext_verified,G573UPWJ,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Lu2014AzimuthalAcoustic,Azimuthally acoustic logging tool to evaluate cementing quality,10.1088/1742-2132/11/4/045006,article,Crossref; OpenAlex,abstract_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Che2014PhasedArcReception,An experimental study on azimuthal reception characteristics of acoustic well-logging transducers based on phased-arc arrays,10.1190/geo2013-0334.1,article,Crossref; OpenAlex; Zotero,fulltext_verified,EALA46HM,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Che2016AzimuthalCement,Azimuthal cement evaluation with an acoustic phased-arc array transmitter: numerical simulations and field tests,10.1007/s11770-016-0537-1,article,Crossref; OpenAlex,metadata_only,,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Che2017AzimuthalReceiver,Experimental study on the performance of an azimuthal acoustic receiver sonde for a downhole tool,10.1111/1365-2478.12401,article,Crossref; OpenAlex; Zotero,fulltext_verified,PCURT8PD,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
Zuo2020AzimuthCement,Evaluation of azimuth cement bond quality based on the arcuate phased array acoustic receiver station,10.1016/j.petrol.2020.107902,article,Crossref; OpenAlex; Zotero,fulltext_verified,TLM634JP,yes,yes,admitted,Title/authors/year/venue/stable identifier cross-checked at recorded metadata sources; claim use limited by full-text status.
